Duration
Episode     Time
1           00:00:10,000
2           00:00:10,000
3           00:00:10,000
4           00:00:10,000
5           00:00:10,000
6           00:00:11,500
7           00:00:10,000
8           00:00:10,000
9           00:00:10,000
10          00:00:10,000
11          00:00:10,000
12          00:00:07,500
13          00:00:08,700

Time-Shift after
Episode		Time
1			00:12:35,000
2			00:11:47,000
3			00:10:23,000
4			00:10:33,000
5			00:10:21,000
6			00:09:09,000
7			00:12:42,000
8			00:12:28,000
9			00:10:33,000
10			00:12:11,000
11			00:11:34,000
12			00:11:09,000
13			00:11:50,000
